Date,Open,High,Low,Close,,OpenToHigh%,OpenToLow%,OpenToClose%,OpenToHigh,OpenToLow,OpenToClose
21-Aug-20,22190.7,22344.05,22165.05,22299.6,,0.691055262,-0.115588963,0.490746123,153.35,-25.65,108.9
20-Aug-20,21989.9,22079.9,21886.7,21999.45,,0.409278805,-0.469306363,0.043429029,90,-103.2,9.55
19-Aug-20,22315.4,22419.35,22234.25,22285.9,,0.465821809,-0.363650215,-0.132195703,103.95,-81.15,-29.5
18-Aug-20,21702,22227.75,21629.4,22170.6,,2.42258778,-0.33453138,2.159247996,525.75,-72.6,468.6
17-Aug-20,21906.95,21909.4,21403.15,21700.85,,0.011183665,-2.299726799,-0.940797327,2.45,-503.8,-206.1
14-Aug-20,22334.95,22334.95,21459.1,21679.4,,0,-3.921432553,-2.935086042,0,-875.85,-655.55
13-Aug-20,22395.2,22439.95,22139.6,22196.35,,0.199819604,-1.141315996,-0.887913481,44.75,-255.6,-198.85
12-Aug-20,22135.95,22326.55,21990.2,22264,,0.861042783,-0.658431195,0.578470768,190.6,-145.75,128.05
11-Aug-20,22050.2,22277.6,22039.85,22227.2,,1.031283163,-0.04693835,0.802713808,227.4,-10.35,177
10-Aug-20,21824.9,22071.95,21795.1,21900.25,,1.131963949,-0.13654129,0.345247859,247.05,-29.8,75.35
07-Aug-20,21620.25,21787.25,21451.3,21754,,0.772424001,-0.781443323,0.618632995,167,-168.95,133.75
06-Aug-20,21644.25,21926.55,21370.3,21642.6,,1.304272497,-1.265694122,-0.007623272,282.3,-273.95,-1.65
05-Aug-20,21686.85,21936.5,21448.4,21509.95,,1.151158421,-1.099514222,-0.815701681,249.65,-238.45,-176.9
04-Aug-20,21248.25,21576.35,21057.75,21490.5,,1.544127163,-0.896544421,1.14009389,328.1,-190.5,242.25
03-Aug-20,21543.8,21543.8,21031.45,21072.1,,0,-2.378178409,-2.189493033,0,-512.35,-471.7
31-Jul-20,21730.55,21806.95,21375,21640.05,,0.351578768,-1.636175799,-0.416464378,76.4,-355.55,-90.5
30-Jul-20,22195.05,22252.6,21580.15,21646.85,,0.259292049,-2.770437553,-2.469920095,57.55,-614.9,-548.2
29-Jul-20,22075,22346.4,21906.35,22076.6,,1.229445074,-0.76398641,0.007248018,271.4,-168.65,1.6
28-Jul-20,21940.15,22233,21611.4,22105.2,,1.334767538,-1.498394496,0.752273799,292.85,-328.75,165.05
27-Jul-20,22664.6,22668.05,21801.35,21848.75,,0.015221976,-3.808803156,-3.59966644,3.45,-863.25,-815.85
24-Jul-20,22853.2,22854.05,22417.2,22662.05,,0.003719392,-1.907829101,-0.836425533,0.85,-436,-191.15
23-Jul-20,22854.85,23122.35,22734.9,23083.9,,1.170429909,-0.524833897,1.002194283,267.5,-119.95,229.05
22-Jul-20,23159,23211.35,22658.2,22882.6,,0.22604603,-2.162442247,-1.193488493,52.35,-500.8,-276.4
21-Jul-20,22639.85,22861.9,22597.95,22782,,0.980792717,-0.185071898,0.627875185,222.05,-41.9,142.15
20-Jul-20,22307.3,22520.45,22187.8,22321.85,,0.955516804,-0.535699076,0.065225285,213.15,-119.5,14.55
17-Jul-20,21608.05,22065,21550.8,21966.8,,2.114721134,-0.264947554,1.660260875,456.95,-57.25,358.75
16-Jul-20,21453.25,21671.25,21027.85,21597.15,,1.016163052,-1.982916341,0.67076084,218,-425.4,143.9
15-Jul-20,21634.25,21935.5,21230.55,21340.75,,1.392467962,-1.866022626,-1.356645134,301.25,-403.7,-293.5
14-Jul-20,21877.6,21909.7,21222.45,21392.2,,0.146725418,-2.994615497,-2.218707719,32.1,-655.15,-485.4
13-Jul-20,22613.25,22657.4,21981.65,22089.25,,0.195239517,-2.793052746,-2.31722552,44.15,-631.6,-524
10-Jul-20,22720.95,22835.2,22320.05,22398.45,,0.50283989,-1.76445087,-1.419394876,114.25,-400.9,-322.5
09-Jul-20,22753.15,22998.3,22673.4,22907.2,,1.077433235,-0.35050092,0.677049112,245.15,-79.75,154.05
